ID,Topic,Selected Content
445,Facility,Nice clean little hotel
445,Location,next to the airport
445,Food,Breakfast was below average
447,Staff,the staff were lovely
447,Room,The bed and pillows were very uncomfortable and the telly was not working properly
448,Room,Clean room. comfortable bed
448,Location,Good location for makenzie beach.
448,Staff,Staff was excellent
448,Room,"Complimentary coffee/tea in our bedroom was not replenished after the first night. Only one coffee sachet for a double room. 
  Whatever was used from the fridge was also not replenished.
  There were no thin curtains to allow for some light to come through into the bedroom; and so you had to draw the thick curtains if you wanted privacy."
449,Location,Close to the airport
449,Staff,We booked a taxi at 04:30 in the morning to go to the airport. Very frustrating that the host didnt inform us that his taxi had a double Booking instead of ordening another for us.
450,Staff,Friendly and Helpful Staff.
450,Room,Room Cleanliness
451,Location,Property is perfectly located close from the airport and close to the famous Makenzie Beach.
451,Facility,Neat and modern hotel facility.
451,Facility,"Property feels cold without an warm inviting atmosphere, as it’s to minimalistic."
451,Room,Rooms are a nice size but is unfortunately situated on top of the outside bar area. Twin beds are provided and the pillows is not comfortable at all. The shower in the bathroom is open in-front which results in the whole floor being wet. Property have a great potential with some care.
453,Location,close to mackenzie beach
453,Room,"Safe didn’t work, back door balcony in other bedroom wouldn’t lock, do not disturb sign didn’t work (electronic), very noisy guests."
453,Staff,asked for double bed and got two single beds next to eachother
453,Check-in,"Waited 10 minutes for someone to come greet us for check in, no one on desk 
  Guy on desk told us we had not paid but we did 
  then he took a picture of my passport which no hotel does at all which was very strange ?????"
454,Location,Very noisy neighborhood
455,Room,It’s clean. The pictures of the room are accurate
455,Off,you can easily pass here one night before flying back
455,Location,"The location was not great, It’s in front of a pension and so close that people could see the colour of my underwear."
455,Facility,"the pool not even to be considered, the overall hotel installation is badly maintained. It’s in front of a pension. The lift broke. The pictures of the room are accurate but fot the hotel installation and pool have a look to ‘Pasithea Apartments’"
455,Room,"The aircon was too strong so we’d opened the windows, big mistake! Very noisy (I’ve asked quiet room)."
455,Staff,the guy was offended becawe asked to see the room before paying….
456,Food,-No free breakfast option.
456,Room,"They need to put a lock to the bathroom and a shower glass door inside or else it gets messy.
  -wifi is not good"
456,Location,"Location is good. Convenient by taxi to city Center,airport and beach."
456,Room,rooms are very well maintained.
456,Food,-The sandwiches and hummus by the chef were delicious.
456,Staff,Mrs Tony does a fabulous job keeping the place spotless and making the guests comfortable. The helps are amazing too. Thanks to all at the hotel who work hard to keep it in good condition.
456,Staff,However when I booked this property in advance it was a higher price but booking.com reduced the price before my travel date and the hotel refused to accept the lower price which I felt was unfair for me as they charged twice for cancellation and rebooking. Maybe this was a booking.com issue or the hotel but I was quite unhappy about this since it was not justified by the owner. I spoke to Ali from booking.com and he said there was no cancellation charge but they charged me
456,Booking-issue,However when I booked this property in advance it was a higher price but booking.com reduced the price before my travel date and the hotel refused to accept the lower price which I felt was unfair for me as they charged twice for cancellation and rebooking. Maybe this was a booking.com issue or the hotel but I was quite unhappy about this since it was not justified by the owner. I spoke to Ali from booking.com and he said there was no cancellation charge but they charged me
456,Off,Peaceful and good for couples and backpackers.
457,Location,I like the quietness and it’s close to airport
457,Room,The way room are furnished is not comfortable
458,Facility,facilities are limited.
458,Room,"Noisy. Probably renovation work was in progress so, some items were not ready. Example, there is no rod for hangers in the wardrobe, the safe wasn’t fixed."
458,Food,Limited food options
458,Off,Basic night stay
459,Room,"Very comfortable bed, room very new and comfortable."
459,Room,"TV did not work,"
459,Location,garbage truck passes at 3 a.m with an incredible noise.
460,Location,Location was excellent
460,Staff,and staff was very polite.
460,Room,Room was very clean upon arrival
460,Price,Rate was very expensive for what it offered.
460,Room,"No cleaning service the 4 days I stayed, no emptying garbage can and also had to ask for fresh towels. There were not even hangers for clothes in the closet"
461,Staff,The people working there were kind and responsive. I feel bad writing a negative review because they were kind
461,Room,Our plumbing had complications twice.
461,Staff,"Moreover, the cleaning crew cleaned out our rooms and threw out a box of cookies next to our bags that was meant to be a gift. These cookies are only made in Thessaloniki and cost us 25 euros. When we asked if they had seem them, the owners brought them out of the trash room and offered to spray them as if that would be acceptable for an edible gift during COVID pandemic cautions. It was nice that they tried, but they should be refunding us for the cookies we lost. I feel bad writing a negative review because they were kind; however, only things near the garbage should be thrown out. Not stuff next to guests' belongings. I was extremely disappointed in how they dealt with the situation, and that they thought it was acceptable to take an edible gift out of a trash room and continue as if nothing happened."
462,Location,"excellent location,"
462,Room,clean and modern.
463,Room,cleanliness
464,Room,"The room was nice and clean, the two beds were set up as we requested"
464,Room,There wasn’t a fan in the bathroom so opening the window was required
465,Room,"Room fresh, clean and modern. Same as shown in photos."
465,Location,"Calm area, close to the beach, many restaurants and coffee shops there. 
  Bus station very close."
465,Food,Breakfast above expectations.
465,Off,nothing
466,Location,"Hotel is very close to the airport, nice place to stay if you arrive late at night."
467,Staff,Liked the happy and smiling welcome that greets you once you arrive at the property.
467,Off,"Unfortunately, I didn't have time to try their breakfasts as I had an early flight but they looked amazing. I will definitely return and I can thoroughly recommend this property. Thank you very much! Not applicable"
468,Staff,"Nice staff,"
468,Room,room very nice and clean.
468,Facility,Swimming pool could be cleaner.
469,Staff,Very helpful and knowledgeable staff.
469,Room,Rooms are updated and clean.
470,Room,Nice and clean.
470,Staff,Owners very nice and friendly.
470,Off,Perfect for an overnight stay.
471,Room,"Very clean, modern rooms, comfortable bed and good shower."
471,Staff,Very helpful staff.
471,Price,Exceptional value for money
471,Location,and very close to beach.
471,Location,Maybe a little way from main town
472,Facility,Very friendly atmosphere. A family business where you feel like at home. The hotel is very comfortable.
472,Food,Huge and delicious breakfast.
472,Off,We definitely will come again.
473,Staff,Friendly staff and service.
473,Room,Very nice rooms. Clean.
474,Room,"Clean, smart devices."
474,Price,"Overpriced for its facilities,"
474,Facility,if you're lucky you may have the only one parking in the side.
474,Food,Very poor lunch (breakfast)
475,Off,Nice
475,Room,"The floor is not cleaned enough, full of dust, water does not drain and floods the room"
477,Staff,Very kind staff.
477,Food,"Delicious food,"
477,Room,impeccable cleanliness.
477,Off,Thank you!
478,Staff,"The kindness of the staff,"
478,Off,"the location,"
478,Room,the cleanliness of the room.
480,Staff,French speaking and competent staff.
480,Off,Nothing
481,Facility,The cleanest place I stayed in Cyprus!
481,Staff,The staff is kind and welcoming.
481,Off,"The Waze is to blame for what I didn't like.
  She was less helpful in guiding me than the locals, who explained to me in a second"
482,Facility,"pleasant accommodation,"
482,Staff,"helpful reception,"
482,Room,cleanliness
482,Room,the rooms were not soundproofed enough
483,Staff,The staff are extremely friendly and always happy to help when needed. They were always ready to answer any of our questions.
483,Location,"In a very good location, close to the airport, especially if you have an early or late flight, and also close to the beach."
483,Room,"The main reason for not giving the highest rating is the noise. From the neighboring hotels/houses, they showered at any time of the day and made unpleasant noise. There were problems with the sealing and closing of the window."
484,Room,"Nice room, very clean."
484,Location,Convenient because close to the airport.
484,Staff,Very kind and helpful staff.
484,Food,"We had dinner in the evening, it was very good."
484,Location,Just a bit far from town
484,Room,Room a bit small
486,Room,"The room was very clean and very spacious.
  The mattresses and pillows were excellent."
486,Room,The only thing that was slightly flawed was the water in the shower in the evening which was lukewarm
487,Off,everything is very good
488,Off,Everything was great!
489,Room,nice and comfortable small room.
489,Facility,Early November: good availability of free parking spaces at the bottom of the hotel.
489,Location,"The beach is 10 minutes walk, the airport 10 minutes by bus."
489,Staff,Friendly staff and very good advice
490,Location,Proximity to the airport
490,Food,and excellent cuisine
490,Off,Nothing
491,Room,"Practical rooms, balconies in each room."
491,Location,good location for the airport.
491,Staff,Listening staff.
491,Room,The noise. The rooms are poorly soundproofed. We hear the neighbors moving.
492,Location,"Hotel near the airport, ideal for a late arrival or a very early departure"
492,Room,"bed duvet much too thick, we suffocate underneath! Very hard bed. Noisy, due to the heavy use of tiling"
492,Location,"Noisy, due to the heavy use of tiling and the steady stream of travelers arriving/departing for the airport throughout the night."
492,Off,Do not use this hotel other than for a stopover night near the airport
493,Room,"nice, clean and neat."
493,Staff,super sweet hosts
494,Facility,Very clean hotel
494,Staff,Very kind staff
494,Location,Very close to the airport
496,Location,"Great location close to the airport,"
496,Staff,friendly service
496,Food,and delicious breakfasts.
497,Facility,Perfect hotel.
497,Staff,"welcoming and helpful staff. and I thank Tony for his welcome and his smile, it's so rare."
497,Room,the room was spacious.and clean.
497,Food,the restaurant is very varied.
497,Location,as well as the location close to the airport and the beach as well as many restaurants and snacks.
497,Off,I will resell with pleasure.I recommend the hotel 100%.
498,Staff,"Great welcome, very pleasant contact, very helpful"
498,Location,Access to the airport is close
498,Location,"Access to the airport is close but not so easy with the bus, when you do not know"
499,Location,The hotel is located close to Larnaca airport.
499,Staff,"Very helpful staff,"
499,Room,"the room had everything you need, and also the bathroom. Clean and cozy."
500,Facility,"The accommodation itself is very good., and on the other hand, if you go by car, even though there is an open-air car park very close,"
500,Location,It is very central.
500,Location,The problem is finding it. It is located in an alley and google maps went crazy. Now I understand why they sent me a photo of how to locate the street.
500,Off,"Surely it's not a problem with the accommodation,"
500,Room,but the guests in the upper apartment didn't stop making noise at 3am
500,Facility,"and on the other hand, if you go by car, even though there is an open-air car park very close, it's a real odyssey to be able to park. We had to leave the car far away."
501,Facility,The hotel is very clean
501,Location,and close to the airport.
501,Room,"Simple and comfortable rooms, you can see that there is care in the place."
501,Food,"The restaurant in the hotel lobby is good,"
501,Food,although it took a relatively long time for our food to be ready.
502,Facility,It's a clean and good hotel
502,Staff,and the service is also great
503,Location,"Close to the field,"
503,Staff,"the staff is nice,"
503,Room,"the room is restful and pleasant, clean and renovated, The bed is comfortable and so is the shower"
503,Location,"The environment is a bit unfriendly for walking, there is a lot of construction and the roads are bumpy"
504,Facility,Everything is a perfect boutique hotel
505,Room,"Modern furnished and very clean room,"
505,Staff,friendly staff.
505,Food,"Nice restaurant in the house, great coffee!"
505,Location,"Close to the city center, the airport and the sea."
505,Price,Price/performance is totally right.
506,Room,"cleanliness, simple and modern furnishings but new like the whole structure"
506,Off,"location, Nothing"
507,Facility,"The hotel is very modernly furnished,"
507,Room,the room is spacious enough with an above-standard large bathroom.
507,Off,We did not use the breakfast because of the early departure. We spent little time at the hotel to assess what could be improved. But we have a positive experience and will use it again next time.
507,Staff,The staff at the reception willingly arranged a ride to the airport for us.
508,Off,Everything nice
509,Facility,"Nice facility,"
509,Staff,very nice and helpful staff.
510,Location,Proximity to the airport
510,Price,cheap
510,Room,clean
510,Room,"Cramped, the third bed for a child is more suitable for a baby, minimalist room accessories"
512,Off,great stay.
512,Room,very clean.
512,Staff,the staff is available and always helps
513,Location,The place is close to the airport and easy to get to.
513,Check-in,We arrived late and the directions were clear and easy.
513,Facility,The place is clean and everything was exactly as expected
513,Location,A short distance from the promenade where you can find nice restaurants on the beach
513,Room,The room for 5 was very tight. Suitable for one night no more
515,Location,I really liked the location. Close to the lake and the beach.
515,Staff,Very nice staff.
515,Check-in,Thank you very much for being able to move in earlier.
515,Facility,Very clean new hotel
516,Staff,friendliness of staff
517,Staff,"The manager very friendly,"
517,Facility,the hotel of very good quality
518,Location,quiet place
519,Food,"Very good breakfast,"
519,Location,great location near MacKenzie beach.
519,Staff,Staff very polite and helpful almost family atmosphere.
521,Room,"Very clean, well organized, nothing missing, pleasant balcony, comfortable mattress."
521,Room,The air conditioner does not cool enough
521,Staff,nice hosts
522,Staff,friendly staff
523,Staff,"Amazing team!!!
  Helps with any question and problem... smiling and patient.
  Changed us to a family room that we requested..
  They gave us great recommendations for places in the city. Order taxis for us...help with car rental.
  They even celebrated our daughter's birthday with a surprise..
  In short, an experience"
526,Off,Perfect for a stay in Larnaca. Everything was in order.
527,Facility,It is a great accommodation
527,Price,with excellent value for money.
527,Location,In addition to being very well located near Larnaca airport and mckenzie beach.
527,Off,I fully recommend it. Anything.
527,Staff,The staff extremely friendly.
528,Facility,"New hotel, everything is clean and fresh."
528,Location,"We were interested in a hotel near the airport, it met our expectations!)"
529,Room,"Cleanliness/Towels: 10/10
  Design/Furniture: 10/10"
529,Staff,Staff: 10/10
529,Room,"Soundproofing: 07/10 (separated rooms with plasterboards)
  Balcony furniture set: 08/10 (could refurbish these too)
  Set of shampoo etc. for the bathroom: 08/10 (Could offer 1 to 1 for the pampering)"
530,Facility,Very nice and clean hotel.
530,Location,In an easy and quiet place. Not far from the beach.
530,Staff,The staff was very nice and polite
531,Location,Location close to the airport and the promenade by the sea.
531,Room,"Clean, tidy, comfortable and beautiful room."
531,Staff,Courteous and welcoming service.
531,Off,We will return to him again.. Highly recommend. We liked the rule
532,Location,"The proximity to the airport,"
532,Facility,"free parking,"
532,Room,large rooms! very clean
533,Off,"We did not have breakfast because we were leaving very early, A real Lebanese tabbouleh all hearty I recommend the restaurant as much as the hotel"
533,Food,however the restaurant in the evening was perfect. The cook particularly affable fast and delicious irreproachable service.
534,Food,Very good homemade breakfast.
535,Facility,"Small, modern hotel"
535,Staff,with very friendly and helpful hosts.
535,Location,30 minute walk from Larnaca center and 10 minute walk from beautiful Mackenzie Beach!
535,Off,I'd love to come back!
536,Facility,An intimate hotel
536,Staff,with service at the highest level.
536,Food,The cuisine is simple but tasty.
536,Location,"Location on +., close to the beach, gastronomy and the airport"
537,Facility,Terrace was very cozy
537,Off,It was very hot but that was the weather
538,Check-in,We arrived in the middle of the night and were able to get into the room via self-check-in without any problems.
538,Location,"Good location close to the airport - easily accessible by taxi, there is also a bus route nearby."
538,Room,Rooms may be a bit small for a longer stay
538,Off,but since we only stayed one night it wasn't a problem.
540,Location,"Location is very close to the beach, Very close to the airport, like 8 minutes by car."
540,Staff,very kind staff on the last day kept our suitcases in custody for the whole day.
540,Room,Really soft bed and pillows. but large bathroom and shower.
540,Room,Room a little smaller than average
541,Location,Strategic location: the property is close to both the airport and Mackenzie Beach. In fifteen minutes of walking along the sea you can also reach Finikoudes.
541,Staff,"Courteous and helpful staff,"
541,Room,"maximum cleanliness, excellent upholstery and modern furnishings."
543,Room,recently refurbished rooms.
543,Facility,Little parking nearby arriving in the evening
544,Staff,All. The sense of hospitality of the owner.
544,Off,Nothing .
545,Food,We had dinner and it was perfect
545,Off,Nothing to complain about
546,Location,"convenient location, with a late arrival and planning further travel by car. Walking distance to Mackenzie Beach and Salt Lake."
546,Check-in,Purely. no problem with check-in after 12 at night.
546,Facility,Parking next to the hotel.
547,Room,"large comfortable bed, clean linen, cozy."
547,Location,close to the airport (7-10 minutes by taxi)
548,Food,Arabic food
548,Food,Have to pay for breakfast
549,Staff,Super nice staff.
549,Location,Great location
549,Facility,and pet friendly! We were able to bring our small dog and the hotel was still very clean!!
550,Room,The rooms are big and very clean! There is also a balcony.
550,Staff,Tony the hotel owner is a great man! Helped us with everything we needed
550,Off,everything will be alright
551,Staff,"A very welcoming staff, smiling and always available to satisfy you. At the reception as in the restaurant there is always someone to take care of you in one of the four languages ​​(Greek, English, French or Arabic)."
551,Location,The proximity to the famous Mackenzie Beach is an asset for this charming hotel. The beach is around 5 minutes walk...
551,Facility,The hotel seems to have been freshened up recently.
551,Off,So everything seemed flawless to us.
552,Location,We arrived at the hotel for one night in order to be close to Larnaca airport for an early morning flight.
552,Room,"The rooms are pleasant, clean, the beds are comfortable, everything is new and clean!!"
552,Off,"We had a really nice time at this hotel, There is nothing we didn't like"
553,Room,"clean rooms, comfortable bed"
553,Staff,"very nice staff,"
554,Location,"The situation, extremely close to the airport for a very early departure or a late arrival, and extremely close to the beach and its entertainment (restaurants, bars...). Very quiet though."
554,Room,"Very clean, very comfortable, brand new!"
554,Staff,Very friendly and pleasant welcome.
555,Staff,We were received with a beautiful and kind hospitality by the hotel staff.
555,Room,"Clean room, pleasant and comfortable bedding. There is a kettle and a fridge in the room."
555,Location,Close to Larnaca airport. Less than 10 minutes
555,Room,Bed 5 could be opened and was less comfortable. Toilet and shower are together and less convenient.
557,Room,"Cleanliness first,"
557,Staff,the kindness of the staff.
557,Food,"The breakfast offered by an independent service does not correspond quantitatively and qualitatively to the known levels of Cypriot hospitality and gastronomy,
  and the price of €12 for breakfast is much more expensive than the reasonable value (in terms of quality and quantity) of the offered product!"
558,Staff,"explanation for arrival,"
558,Room,cleanliness
558,Off,Nothing
559,Off,everything. I liked everything
560,Location,Excellent location near the airport. Good for an overnight stay after a late or early morning flight.
560,Room,There was no hot water the two nights.
560,Staff,"when we complained, they said they took care of it and it wasn't taken care of."
561,Room,cleanliness
561,Staff,kindness of the staff
561,Off,Nothing
562,Room,"The room is really clean,"
562,Location,close to Larnaca airport and it was really convenient to stop there because our flight landed in the middle of the night
562,Room,The water in the bath is cold!!!!!!
562,Off,And that we were staying in the middle of August.. even David Shemesh was supposed to arrange boiling soup here
564,Room,"The room was spotless and the sheets were musky! While we had booked a double room, they gave us a 4-bed room with two rooms, which made us very happy."
564,Check-in,While we arrived after midnight there was a person at the reception to check in.
564,Staff,The staff is very kind and helpful!
564,Off,We would definitely go again!!
565,Location,"Location near the airport, near Mackenzie beach - super convenient. five minutes to the beach."
565,Food,"Delicious breakfasts,"
565,Room,"Homer comfortable, clean, cleaned every day."
565,Staff,"attentive staff, The owners of the hotel helped with all questions."
565,Off,If you stop here
566,Location,Location close to the airport
566,Staff,"Kindness of staff
  Staff speaks French"
567,Off,"We liked everything,"
567,Staff,"excellent service, they helped us with everything we needed."
568,Off,We only had drinks.
568,Taxi-issue,The taxi driver who picked us up for the short drive to the airport ripped us off. Be sure to negotiate the price beforehand. It's your own fault!
569,Location,"Excellent location, 7 minutes walk from the boardwalk and the airport"
569,Staff,The hotel staff is simply charming and kind! They upgraded our room for free. The hotel put us in touch with a taxi driver who took us to visit the mall and charged us decent prices.
569,Facility,"The hotel was recently renovated,"
569,Room,"rooms are in new and clean condition
  In addition, there is smart technology, there are electronic buttons to request cleaning for the room, a bell and remote control of the air conditioner if there is a problem."
570,Staff,"Staff very welcoming, kind and very friendly."
570,Room,Everything is clean and perfect.
570,Off,No complaints. I strongly advise.
571,Facility,"Clean comfortable hotel,"
571,Food,delicious breakfast.
571,Location,To the beach on foot 5 minutes.
571,Off,Only pleasant impressions remain
573,Room,"the calm and comfort of the bedding, the balcony, the spacious room"
573,Room,the blue light on the balcony at night which interferes with sleeping open window
575,Off,"Everything was excellent,"
575,Staff,personal attention
576,Food,"The restaurant service is very good, varied and with good prices,"
576,Staff,the workers are very pleasant and attentive.
576,Room,The air conditioning had poor regulation... or cold (and directly to the body) or heat.
577,Off,"All, Nothing"
579,Location,Hotel near airport about 10 minutes drive away
581,Staff,"Welcoming by the staff,"
581,Room,super clean
581,Off,location and price
581,Facility,Difficulty finding parking
583,Room,Room comfort.
583,Off,Nothing.
584,Staff,Very pleasant welcome
585,Staff,Very friendly and courteous staff.
585,Room,Clean and chic furnishings.
586,Facility,"Great hotel, everything is new and clean."
586,Staff,Friendly and welcoming staff.
586,Location,"The hotel is close to the airport, convenient for a short stay. Near the sea, promenade and several excellent restaurants."
586,Off,Highly recommend!
587,Staff,the employees are nice
587,Room,#VALUE!
587,Location,- close to the airport and the beach
588,Location,Excellent location close to everything.
591,Food,Very varied breakfasts to choose from in the hotel restaurant.
591,Off,There were no such elements
592,Off,the service
593,Food,"The dishes cooked to order are delicious, I recommend eating at Jasmine Garden."
597,Location,"Excellent location, a few steps from the sea and from via dei premises, in 20 minutes on foot you can also reach the ""historic"" center."
597,Food,"Excellent breakfast and meals in the restaurant, all freshly made."
597,Room,"Modern and renovated rooms, very comfortable beds"
597,Room,Slightly small bathroom but still ok
598,Staff,Very nice staff
601,Off,Everything was great!
602,Staff,"Excellent welcome,"
602,Room,"clean, quiet."
602,Location,Hotel very well located for the airport.
603,Facility,Very clean accommodation. Very pleasant terrace in the evening.
603,Staff,Friendly staff
603,Room,The quality of the television image quite poor.
604,Off,everything in general
605,Room,"Comfortable, clean, modern, pleasant."
605,Staff,"The hosts are very nice, they help in everything."
608,Room,clean and comfortable
608,Room,the view from my room..
609,Room,The room was modern with a large and very comfortable bed. The shower really good. There was also great quiet and it was very easy to set up the room so you wouldn't be disturbed. Everything very clean.
609,Room,"The size of the room was just enough to spend one night, not much more. If I were to go with my partner we would have been disappointed due to the lack of space."
609,Price,The price is perhaps a little high for the comfort that a room gives you that is small as soon as you enter.
611,Staff,"The kindness and availability of the staff,"
611,Food,the restaurant offering a good quality of dishes.
611,Room,The comfortable and very clean room. The calm
611,Location,Proximity to the city center and the beach.
611,Price,Very good value for money
611,Off,Ras
612,Location,"the establishment is really close to the airport, i.e. 6 minutes by car."
612,Staff,"the managers of the hotel are extraordinarily kind and caring, they speak French and helped us find a rental car at a good price, they accompanied and advised us during our stay."
612,Room,the room is nice and well furnished
612,Off,I highly recommend this hotel
612,Location,the small downside concerns the light from the outside at certain times
613,Food,Very good breakfast!
613,Room,Comfortable bed. Purely.
613,Staff,Friendly staff.
613,Room,"Not all rooms have a balcony. I did not have it. Staying for one day is fine, but if you live for a while, then how to dry your towel and swimsuit ..."
616,Location,"Mackenzie Beach is super easy to reach, but not too close to be disturbed by the parties there at night."
616,Staff,Very friendly and helpful hotel staff.
617,Location,Good central location.
617,Staff,Very nice staff.
617,Facility,Neat small hotel.
617,Off,Very noisy
619,Staff,Excellent welcome by the owner who speaks fluent French.
619,Facility,Quiet hotel
619,Location,and extremely well located for the airport and Larnaca salt lake. For a night of transit before our return to France it was perfect.
619,Price,Unbeatable value for money I think.
619,Food,Perfect and good dinner and lovely waiter.
619,Off,Didn't have breakfast as we were leaving at 4am
621,Staff,"The owner of the place is an amazing guy, nice and answers everything!"
621,Food,"There are breakfasts, not a big variety but tasty"
621,Food,"There are breakfasts, not a big variety but tasty"
622,Staff,super friendly staff
622,Room,"a clean, modern room"
622,Room,we didn't have a balcony.
622,Off,It wasn't bad though as we were only there for one night.
623,Location,Good location near the airport and the beach.
623,Room,Noisy air conditioning
623,Location,night traffic in the area.
624,Room,Nice modern room.
624,Staff,"Boss and family take care of that
  Well-being of your guests!"
624,Off,There was nothing to complain about!
625,Off,No breakfast booked.
625,Location,Location very good for airport and beach.
626,Staff,The most important thing about the hotel is the incredible staff. Very soulful atmosphere.
626,Food,"Definitely recommend trying the food in the restaurant. We took pasta, pizza, salads and burgers and everything was piping hot and very tasty and homemade."
626,Room,"The rooms are clean, air-conditioned, balcony, mini-bar."
626,Off,"The general manager, he is behind the counter in the restaurant, made our holiday), Definitely recommend"
627,Staff,"I loved the staff, they always greeted us with a smile, they were really nice, they always responded to the help we needed, they called us a taxi, they didn't charge me again because I lost my room ticket,"
627,Facility,"a stunning hotel, an aesthetic and clean place with innovative and interesting service that you can really request at the push of a button that you won't be able to hear the bell,"
627,Off,I have never come across this in my life amazing thank you so much to this hotel. so it's not critical other than that it's a stunning place.
627,Location,A bit far from the city center
627,Location,but taxis cost us the same price from anywhere in the city
628,Location,The hotel is located close to the airport (there is a bus with good frequency from the street next to the airport) and close to the city center. The hotel is located in a dead-end and quiet street
628,Facility,- we had plenty of parking.
628,Room,The rooms were very clean.
628,Staff,The staff at the hotel (Tony) was nice and gave a pleasant feeling - immediately after the booking we received a WhatsApp from him to confirm the time of arrival and to inform that they were waiting for us.
629,Staff,"We stayed literally for a few hours, the welcome was pleasant and they helped us order a taxi to the airport!"
630,Staff,Very friendly and helpful Staff.
630,Room,Wifi was weak at times.
631,Room,"It was very new, clean and quite modern."
631,Price,Excellent price/quality ratio
631,Off,Anything
632,Off,we only stayed at the LaVeranda Hotel for one night
632,Location,as the end of our Cyprus trip to be as close to the airport as possible for the last night! It was perfect for that. The bus connection to the city center was just around the corner and we were able to get back to the hotel later in the evening without any problems using public transport. The location was also perfect for the trip to the airport the next morning (7:00 am). Mackenzie Beach is super close and so are lots of cool bars and restaurants.
632,Room,"The room was very nicely furnished and, above all, super clean."
634,Staff,kindness
635,Location,"Great location. 10 minutes by bus from and to the airport. 10 minutes walk to the beach and cafes by the beach. It takes 40 minutes to walk along the promenade to the city, but it's nice."
635,Facility,"The hotel is good,"
635,Staff,the staff is friendly.
636,Facility,"A renovated, brilliant family hotel with a very friendly staff."
636,Staff,a very friendly staff.
636,Location,Suited us for a one night stay before a flight.
636,Food,We had dinner at the hotel restaurant and it was excellent! The chef gave a personal touch to understand exactly what we want.
636,Off,recommended.
637,Location,Perfect location to the airport.
637,Staff,Very friendly reception.
637,Room,Very clean.
638,Off,"Location, Everything was perfect !"
638,Room,"room comfort,"
638,Staff,service and courtesy of the staff.
640,Room,It was very clean.
640,Staff,The host was very nice. He gave us instructions on how to get to the hotel and then even picked us up at the bus stop because we were very late
640,Room,the humid air in the room. The air conditioning probably didn't work properly
641,Staff,"Very friendly staff,"
641,Room,very clean everywhere. Nice room with a nice balcony.
641,Location,Quiet and peaceful area.
641,Off,Definitely a hotel worth visiting again. All was well
642,Food,"Delicious homemade breakfast,"
642,Staff,they speak French. Are very caring and welcome you 24 hours a day
642,Location,and very close to the airport!
643,Facility,"Welcoming environment,"
643,Staff,"courtesy,"
643,Room,"cleanliness, modern room."
643,Food,"I would like more variety at breakfast.
  The price to food ratio was disproportionate."
644,Room,"Very clean, comfortable bed, tea and coffee in the room."
644,Location,perfect location (near the airport)
644,Staff,"very friendly welcome,"
644,Room,There was no hair dryer
645,Off,Perfect!
646,Facility,"The hotel is clean, comfortable. I rented a car, there is a place to park."
646,Location,"and a good location. Very close to Salt Lake and Mackenzie Beach. Very close to bus stop. Very close to the airport, From the hotel you can just walk along the entire promenade of Larnaca, you won’t miss anything. A calm step along the sea to the Church of St. Lazarus 30-40 minutes."
646,Room,"The room was wonderful. White bed. The shower is wonderful, the air conditioner works,"
646,Food,Breakfast can be bought directly at the hotel for only 8 euros.
646,Off,"we were in January, it was very warm and sunny. Everything is great. I highly recommend, the bus only costs 1.5 euros to and from the airport."
646,Staff,"The owner of the hotel was very friendly, allowed to leave things, even after we checked out,"
647,Room,"cleanliness, comfort"
648,Staff,Nice staff.
648,Off,just one night to leave early the next day from the airport
648,Facility,Maybe the reception needs improvement. It is very old furniture
649,Facility,New hotel.
649,Room,Clean comfortable room.
649,Staff,Friendly staff.
649,Location,"The hotel is located near the airport. but we traveled in the off season - there was no noise from the street, and the sound from landing / taking off planes did not particularly bother us."
649,Off,"We read reviews that extraneous noise could interfere, Other than that everything was fine and met our expectations."
649,Room,"The room was small, could have been a bit more spacious."
650,Facility,Cozy hotel
650,Location,"in a quiet location. Walking distance to the beach,"
650,Off,we went with a child. Walking around is also interesting. Keep in mind. But we usually go with ours.
650,Room,"The room is very clean, comfortable mattresses, excellent clean bedding."
650,Room,"There is only soap in the shower, no shower gel."
650,Staff,Very polite and pleasant staff.
650,Food,We took breakfast once. I liked it.
651,Staff,Pleasant staff
652,Room,"Cleanliness 10/10! everything is white, bright, cozy!"
652,Facility,the accommodation is perfect
652,Location,- close to the airport.
652,Off,"We spent one night before the plane, were very satisfied. nothing to complain about)"
653,Staff,"Very nice staff,"
653,Room,"comfortable beds, great shower."
653,Off,"We stayed for one night before flying out of Cyprus, They are drawing a number :)"
653,Facility,"the option is excellent,"
653,Location,"close to the airport, near the lake with flamingos (in winter)"
654,Off,"I liked the hotel already when approaching it from the street. The feeling of the new did not leave all the time. As it turned out later, the hotel is already about 8 years old, but they are doing well. We did not use the pool, the sea is better, And he did not have to swim. Everything else is a plus!"
654,Facility,"Starting from the street terrace, the hall and up to the room itself - clean, comfortable, with a soft bed. and just drink their wonderful cappuccino on soft sofas, and then sleep the rest of the night on soft beds."
654,Room,"Starting from the street terrace, the hall and up to the room itself - clean, comfortable, with a soft bed."
654,Staff,"Always friendly staff (it looks like a family business, but I will not say). Every day cleaning."
654,Food,"At any time, you can go down to the veranda at the tables and just drink their wonderful cappuccino on soft sofas,"
654,Location,because there is a good Mackenzie beach.
654,Location,"Of the minuses: sometimes a car came to pick up garbage cans at night. More precisely, the car poured them into its depths, not worrying about the noise and sleeping expensive tourists."
